Простые типы;Операторы;Функции;Блоки;Модификаторы;Объекты и значения
;;;;;
array;and;assert;asm;abstract;arguments
auto;and_eq;callable;case;async;checked
bool;as;clone;catch;await;false
boolean;bitand;const_cast;class;const;self
byte;bitor;del;default;def;this
char;break;delete;do;explicit;true
decimal;compl;die;elif;extends;unchecked
double;continue;dynamic_cast;else;extern;undefined
event;debugger;echo;elseif;final;
float;declare;empty;enum;finally;
int;enddeclare;eval;except;fixed;
let;endfor;exec;for;friend;
list;endforeach;exit;foreach;global;
long;endif;export;function;implements;
none;endswitch;get;if;implicit;
null;endwhile;goto;ifn;inline;
object;from;import;interface;internal;
ref;in;include;loop;lambda;
sbyte;is;include_once;namespace;mutable;
short;new;instanceof;private;native;
signed;not;isset;protected;override;
str;not_eq;lock;public;readonly;
string;or;operator;struct;sealed;
uint;or_eq;package;switch;static;
ulong;pass;print;trait;sync;
unsigned;raise;register;try;synchronized;
ushort;return;reinterpret_cast;union;template;
var;throw;require;until;transient;
void;typedef;require_once;while;unsafe;
wchar_t;typeid;set;with;virtual;
;typename;sizeof;;volatile;
;use;stackalloc;;;
;using;static_cast;;;
;where;super;;;
;xor;typeof;;;
;xor_eq;unset;;;
;yield;;;;
